CUSTOMER_ID,CUSTOMER_KEY,CONTACT_NUMBER,Referred Other customers,Gender,Location,Acquired Channel
1,C100000,9693593216,N,M,Chennai,APP
2,C100001,9770151476,Y,M,Bangalore,WEBSITE
3,C100002,9779085726,N,M,Gurgaon,WEBSITE
4,C100003,9298611643,N,M,Gurgaon,APP
5,C100004,9929250328,Y,M,Chennai,APP
6,C100005,9922425421,N,F,Bangalore,APP
7,C100006,9477024516,N,F,Chennai,APP
8,C100007,9530032517,N,F,Gurgaon,WEBSITE
9,C100002,9779085726,N,F,Chennai,WEBSITE
10,C10067,9746922893,N,F,Gurgaon,APP
11,C100000,9693593216,N,F,Gurgaon,WEBSITE
12,C100008,99387789901,Y,F,Bangalore,WEBSITE
13,C100009,9548492658,N,F,Others,WEBSITE
14,C100005,9922425421,N,M,Gurgaon,APP
15,C100010,9455939989,N,M,Gurgaon,WEBSITE
16,C100002,9779085726,N,F,Gurgaon,WEBSITE
17,C100002,9779085726,N,F,Chennai,WEBSITE
18,C100000,9693593216,N,F,Chennai,WEBSITE
19,C100011,9533277933,N,M,Gurgaon,WEBSITE
20,C10067,9746922893,N,M,Bangalore,WEBSITE
21,C100012,9806595611,N,F,Bangalore,APP
22,C100013,9482619520,N,F,Bangalore,WEBSITE
23,C100014,9437410251,N,M,Gurgaon,WEBSITE
24,C100015,9242592029,N,M,Chennai,WEBSITE
25,C100016,9937608062,N,M,Chennai,WEBSITE
26,C100000,9693593216,N,M,Others,WEBSITE
27,C100016,9937608062,N,M,Gurgaon,WEBSITE
28,C100017,9460483024,N,M,Chennai,WEBSITE
29,C100018,9590077734,N,F,Gurgaon,APP
30,C100019,9011788905,N,F,Others,WEBSITE
31,C10067,9746922893,N,F,Gurgaon,WEBSITE
32,C100020,9898490526,N,M,Bangalore,WEBSITE
33,C100021,9847657653,N,M,Gurgaon,APP
34,C100022,9138659000,N,F,Bangalore,APP
35,C100023,9405624141,N,F,Bangalore,WEBSITE
36,C100024,9116126993,N,F,Gurgaon,APP
37,C100025,9738608318,Y,M,Chennai,WEBSITE
38,C100026,9668650284,N,F,Gurgaon,APP
39,C100027,9890328872,N,F,Gurgaon,WEBSITE
40,C100028,9879372781,N,F,Gurgaon,APP
41,C100014,9437410251,N,F,Bangalore,WEBSITE
42,C10018,9081485612,N,M,Gurgaon,APP
43,C100029,9623023381,N,F,Chennai,APP
44,C100030,9055388918,N,M,Chennai,WEBSITE
45,C100031,9257448147,N,M,Bangalore,WEBSITE
46,C100032,9013432294,N,M,Others,WEBSITE
47,C100033,9074331024,N,M,Others,WEBSITE
48,C100034,9732942464,N,M,Gurgaon,WEBSITE
49,C100035,9042382393,N,M,Gurgaon,WEBSITE
50,C100036,9461581717,N,M,Chennai,WEBSITE
51,C100037,9350246364,N,M,Gurgaon,WEBSITE
52,C100038,9987097318,Y,M,Gurgaon,WEBSITE
53,C10070,9302894453,N,M,Gurgaon,APP
54,C100039,9476513130,N,M,Gurgaon,WEBSITE
55,C100040,9036178069,N,F,Bangalore,APP
56,C100041,9338957939,Y,M,Bangalore,APP
57,C100042,9904859233,N,M,Gurgaon,APP
58,C100043,9265324089,N,M,Gurgaon,WEBSITE
59,C100044,9731372933,Y,F,Bangalore,WEBSITE
60,C100045,9319344610,N,M,Bangalore,APP
61,C100046,9770537809,N,F,Bangalore,APP
62,C100047,9150143211,N,M,Bangalore,APP
63,C100048,9717931900,N,M,Chennai,APP
64,C10070,9302894453,N,F,Gurgaon,APP
65,C100049,9171634125,N,M,Chennai,WEBSITE
66,C100050,9655724533,Y,F,Chennai,WEBSITE
67,C100049,9171634125,N,M,Gurgaon,APP
68,C100051,9494078793,N,M,Gurgaon,WEBSITE
69,C100052,9558411651,Y,M,Bangalore,WEBSITE
70,C100053,9749611265,Y,M,Gurgaon,WEBSITE
71,C100054,9033379262,N,F,Chennai,WEBSITE
72,C100055,9522096231,N,M,Chennai,APP
73,C100056,9189910297,N,M,Gurgaon,WEBSITE
74,C100057,9925378789,N,M,Chennai,WEBSITE
75,C10075,9697292455,N,F,Gurgaon,WEBSITE
76,C100058,9254728948,N,M,Others,WEBSITE
77,C100059,9621932749,N,M,Gurgaon,APP
78,C100060,9646084629,N,M,Chennai,WEBSITE
79,C100061,9113372799,N,F,Bangalore,WEBSITE
80,C100062,9941301753,N,M,Chennai,APP
81,C100021,9847657653,N,M,Bangalore,WEBSITE
82,C100063,9346080099,N,M,Bangalore,WEBSITE
83,C100064,9403909682,N,M,Chennai,WEBSITE
84,C100062,9941301753,N,M,Gurgaon,APP
85,C100065,9723163667,N,M,Gurgaon,APP
86,C10076,9451722360,N,M,Chennai,WEBSITE
87,C100025,9738608318,Y,M,Gurgaon,APP
88,C100066,9680505256,N,M,Chennai,APP
89,C100067,9407006694,N,M,Chennai,APP
90,C100068,9239467254,N,F,Gurgaon,APP
91,C100069,9334298513,N,M,Gurgaon,WEBSITE
92,C100070,9741394969,N,F,Chennai,WEBSITE
93,C100071,9568269834,N,M,Gurgaon,WEBSITE
94,C100072,9827065955,N,M,Gurgaon,WEBSITE
95,C100073,9969598783,N,M,Chennai,APP
96,C100074,9630169667,N,M,Chennai,WEBSITE
97,C10077,9769628510,N,F,Chennai,APP
98,C100075,9357292651,N,F,Chennai,WEBSITE
99,C100076,9398308637,N,M,Bangalore,APP
100,C100077,9106115905,N,M,Bangalore,WEBSITE
101,C100078,9766861226,N,M,Chennai,WEBSITE
102,C100079,9171531201,N,M,Gurgaon,WEBSITE
103,C100070,9741394969,N,M,Gurgaon,WEBSITE
104,C100080,9024382038,N,M,Gurgaon,APP
105,C100081,9443310291,N,M,Gurgaon,APP
106,C100082,9716214662,N,M,Chennai,APP
107,C100083,9307022827,N,F,Chennai,WEBSITE
108,C10078,9244927013,N,F,Bangalore,WEBSITE
109,C100084,9720634388,N,M,Gurgaon,APP
110,C10062,9065120142,N,M,Chennai,WEBSITE
111,C10083,9103442999,N,M,Bangalore,WEBSITE
112,C100472,9953048119,N,M,Gurgaon,WEBSITE
113,C10070,9302894453,N,F,Chennai,APP
114,C10077,9769628510,N,M,Chennai,WEBSITE
115,C10060,9287268570,N,M,Bangalore,WEBSITE
116,C100675,9460481970,N,F,Chennai,WEBSITE
117,C100676,9657137810,N,M,Chennai,WEBSITE
118,C10059,9269731207,N,M,Gurgaon,APP
119,C100368,9414738979,N,M,Chennai,WEBSITE
120,C100085,9914281625,N,M,Gurgaon,WEBSITE
121,C10095,9350415810,N,M,Gurgaon,WEBSITE
122,C10094,9146212591,N,M,Gurgaon,APP
123,C10071,9723663725,N,M,Gurgaon,WEBSITE
124,C100150,9124507254,N,M,Chennai,WEBSITE
125,C100632,9356124668,N,F,Chennai,WEBSITE
126,C100664,9199794132,N,F,Gurgaon,WEBSITE
127,C100332,9341216701,N,M,Gurgaon,WEBSITE
128,C100363,9300339948,N,M,Others,APP
129,C100100,9432874118,N,M,Gurgaon,WEBSITE
130,C100283,9719190875,N,M,Gurgaon,WEBSITE
131,C100087,9820145731,N,M,Gurgaon,APP
132,C100633,9581511830,N,M,Chennai,APP
133,C100190,9497455433,N,M,Chennai,WEBSITE
134,C100677,9316392873,N,M,Chennai,WEBSITE
135,C100322,9030117446,N,M,Chennai,APP
136,C100678,9919419733,N,F,Gurgaon,APP
137,C100679,9784658033,N,F,Chennai,APP
138,C100472,9953048119,N,M,Gurgaon,APP
139,C100666,9383276421,N,M,Gurgaon,WEBSITE
140,C100626,9250182040,N,M,Chennai,WEBSITE
141,C100680,9269611704,N,M,Gurgaon,WEBSITE
142,C100088,9260486919,Y,M,Gurgaon,APP
143,C100681,9880835319,N,M,Chennai,APP
144,C100150,9124507254,N,M,Chennai,APP
145,C100285,9989980621,N,F,Chennai,WEBSITE
146,C100682,9858301723,N,M,Chennai,APP
147,C100682,9858301723,N,F,Chennai,WEBSITE
148,C10098,9137039007,N,F,Bangalore,APP
149,C100668,9989462964,N,M,Chennai,WEBSITE
150,C100683,9090931924,N,M,Chennai,APP
151,C100376,9389459283,N,F,Gurgaon,APP
152,C100684,9386175462,N,F,Chennai,WEBSITE
153,C100685,9535472304,N,F,Gurgaon,WEBSITE
154,C100089,9754095802,N,M,Gurgaon,WEBSITE
155,C100629,9688488104,N,M,Others,WEBSITE
156,C100688,9875238903,N,M,Chennai,WEBSITE
157,C100681,9880835319,N,F,Gurgaon,WEBSITE
158,C100680,9269611704,N,M,Chennai,WEBSITE
159,C100574,9633995643,N,F,Gurgaon,WEBSITE
160,C100689,9714621881,N,F,Gurgaon,WEBSITE
161,C100100,9432874118,N,M,Chennai,APP
162,C100128,9142115282,N,M,Chennai,APP
163,C100046,9770537809,N,F,Others,WEBSITE
164,C100140,9213204551,N,F,Gurgaon,APP
165,C100667,9465912784,N,M,Gurgaon,WEBSITE
166,C100690,9051764121,N,F,Gurgaon,WEBSITE
167,C100691,9308205159,N,M,Bangalore,APP
168,C100692,9386116058,N,M,Bangalore,WEBSITE
169,C100141,9719118986,N,F,Gurgaon,WEBSITE
170,C100301,9188601099,N,M,Gurgaon,WEBSITE
171,C10043,9860069731,N,F,Gurgaon,WEBSITE
172,C10035,9875382430,N,M,Gurgaon,WEBSITE
173,C100693,9837578488,N,M,Chennai,WEBSITE
174,C100046,9770537809,N,M,Chennai,WEBSITE
175,C100276,9133642506,N,F,Gurgaon,APP
176,C100250,9575765147,N,F,Chennai,APP
177,C100111,9536390507,N,M,Bangalore,WEBSITE
178,C100683,9090931924,N,M,Gurgaon,APP
179,C100285,9989980621,N,M,Gurgaon,APP
180,C10086,9261206621,N,M,Others,APP
181,C100141,9719118986,N,M,Chennai,APP
182,C10061,9377777180,N,M,Gurgaon,APP
183,C10064,9690060465,N,F,Chennai,WEBSITE
184,C100105,9332737670,N,M,Chennai,WEBSITE
185,C100090,9534777518,N,F,Gurgaon,WEBSITE
186,C100642,9186793399,N,M,Gurgaon,WEBSITE
187,C10041,9015312425,N,F,Gurgaon,WEBSITE
188,C100695,9449888954,N,F,Gurgaon,APP
189,C100696,9248117369,N,F,Bangalore,APP
190,C100145,9855049019,N,M,Bangalore,WEBSITE
191,C100697,9880373423,N,F,Gurgaon,APP
192,C100698,9197971146,N,M,Bangalore,WEBSITE
193,C100699,9324221245,N,M,Chennai,APP
194,C100192,9559208939,N,M,Bangalore,WEBSITE
195,C100091,9162891802,N,F,Bangalore,APP
196,C100677,9316392873,N,F,Chennai,WEBSITE
197,C100285,9989980621,N,F,Chennai,WEBSITE
198,C100700,9113962372,N,M,Gurgaon,APP
199,C100701,9763342562,N,M,Bangalore,WEBSITE
200,C100632,9356124668,N,M,Chennai,WEBSITE
201,C100159,9465929595,N,M,Gurgaon,WEBSITE
202,C100702,9104458132,N,F,Gurgaon,APP
203,C100270,9310643165,N,F,Bangalore,WEBSITE
204,C100250,9575765147,N,M,Gurgaon,WEBSITE
205,C100110,9315441804,N,M,Gurgaon,WEBSITE
206,C100092,9092402905,N,M,Chennai,APP
207,C10051,9267577529,N,M,Chennai,WEBSITE
208,C10051,9267577529,N,M,Gurgaon,WEBSITE
209,C100698,9197971146,N,M,Bangalore,APP
210,C100268,9071607735,N,M,Chennai,APP
211,C100173,9327770018,N,M,Bangalore,WEBSITE
212,C100135,9599359412,N,M,Gurgaon,WEBSITE
213,C100472,9953048119,N,F,Chennai,APP
214,C10032,9575632384,N,M,Bangalore,WEBSITE
215,C10079,9788740320,N,F,Bangalore,APP
216,C100093,9330521165,N,F,Gurgaon,WEBSITE
217,C100703,9263875699,N,F,Chennai,WEBSITE
218,C100113,9351644149,N,M,Gurgaon,WEBSITE
219,C10068,9361690037,N,M,Gurgaon,WEBSITE
220,C10061,9377777180,N,M,Gurgaon,WEBSITE
221,C100157,9983596168,N,F,Bangalore,WEBSITE
222,C100166,9311028468,N,M,Chennai,APP
223,C100133,9058986378,N,M,Gurgaon,APP
224,C100704,9236388970,N,M,Bangalore,WEBSITE
225,C100706,9525037337,N,M,Chennai,APP
226,C100559,9001463570,N,M,Bangalore,WEBSITE
227,C100094,9595072684,N,M,Gurgaon,APP
228,C10099,9598629704,N,M,Chennai,APP
229,C100188,9920422639,N,F,Chennai,APP
230,C100694,9418438609,N,M,Gurgaon,APP
231,C100270,9310643165,N,M,Chennai,WEBSITE
232,C100679,9784658033,N,M,Gurgaon,WEBSITE
233,C100707,9597232817,N,F,Gurgaon,APP
234,C100708,9114740803,N,M,Chennai,APP
235,C100200,9027139478,N,M,Gurgaon,WEBSITE
